Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g),Max yield (mol/mol),Production flux at max yield (mmol/gDCW/h),Carbon uptake rate at max yield (mmol/gDCW/h)
eciML1515,eciML1515_met_58055,"4,5-dioxopentanoate",met_58055,YT,aerobic,D-glucose,0.199999999999999,0.0333333333333332,0.143310115662058,1.17475728766824,1.70705118281148,1.45310967697827
eciML1515,eciML1515_met_58055,"4,5-dioxopentanoate",met_58055,YA,aerobic,D-glucose,0.1598036147663,0.0266339357943835,0.114507372576868,0.707433029971178,1.72022752703582,2.43164717246226
eciML1515,eciML1515_dha,dihydroxyacetone,dha,YT,aerobic,D-glucose,0.999999999999999,0.166666666666666,0.499999999999999,2.0,406.338121784189,203.169060892094
eciML1515,eciML1515_dha,dihydroxyacetone,dha,YA,aerobic,D-glucose,0.98455438537767,0.164092397562945,0.492277192688835,1.97783963527248,174.746377917173,88.3521468580025
eciML1515,eciML1515_ptrc,"1,4-butanediammonium",ptrc,YT,aerobic,D-glucose,0.25,0.0416666666666668,0.125124086985115,0.990740740740741,1.66747143748491,1.68305528269505
eciML1515,eciML1515_ptrc,"1,4-butanediammonium",ptrc,YA,aerobic,D-glucose,0.101325141031398,0.016887523505233,0.0507128630407669,0.49828245324979,0.934401275240687,1.87524418960879
eciML1515,eciML1515_ptrc_path_1,"1,4-butanediammonium",ptrc,YT,aerobic,D-glucose,0.142857142857142,0.0238095238095237,0.0714994782772086,0.990740758140893,1.84700028544952,1.86426193761866
eciML1515,eciML1515_ptrc_path_1,"1,4-butanediammonium",ptrc,YA,aerobic,D-glucose,0.0761272903366877,0.0126878817227812,0.0381014307921154,0.4477388716787,0.780688853437265,1.74362536473601
eciML1515,eciML1515_glutar,glutarate(2-),glutar,YT,aerobic,D-glucose,0.333333333333333,0.0555555555555555,0.240715133287166,0.899159664845354,10.0201205410663,11.1438723653042
eciML1515,eciML1515_glutar,glutarate(2-),glutar,YA,aerobic,D-glucose,0.278421040343888,0.0464035067239814,0.201060473508991,0.772434324707031,5.07450564645904,6.56949786427953
eciML1515,eciML1515_ser__L,L-serine zwitterion,ser__L,YT,aerobic,D-glucose,1.0,0.166666666666666,0.583342492068535,2.0,82.2946653174745,41.1473326587372
eciML1515,eciML1515_ser__L,L-serine zwitterion,ser__L,YA,aerobic,D-glucose,0.953751363067969,0.158958560511328,0.556363696945831,1.95311834892444,39.0289950858144,19.9829135327652
eciML1515,eciML1515_met_4ACAA,4-aminocinnamate,met_4ACAA,YT,aerobic,D-glucose,0.166666666666666,0.0277777777777778,0.15002315402269,0.56020942408377,2.54297555717805,4.53933020019633
