Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,LLEUDr,NADH,NADPH,1.07454280958364,1.04132635842819,3.18982141252879
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,OIVD2,NADH,NADPH,1.05935672896877,1.04132635842819,1.73148123973296
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,MMSDHir,NADH,NADPH,1.05935411049477,1.04132635842819,1.73122978407926
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,HIBD,NADH,NADPH,1.05935411026815,1.04132635842819,1.73122976231625
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,VALDHr,NADH,NADPH,1.07454280930483,1.04132635842819,3.18982138575429
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,ALAD_L,NADH,NADPH,1.07454280930682,1.04132635842819,3.18982138594476
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,HACOADr,NADH,NADPH,1.05935410959129,1.04132635842819,1.73122969731716
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,GAPD,NADH,NADPH,1.07454280960893,1.04132635842819,3.18982141495698
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,MDH,NADH,NADPH,1.07454280930677,1.04132635842819,3.18982138594046
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,MMSAD1,NADH,NADPH,1.0593541108292,1.04132635842819,1.73122981619489
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,GLUDxi,NADH,NADPH,1.07454280906368,1.04132635842819,3.18982136259613
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,KARA1,NADPH,NADH,1.05950094157154,1.04132635842819,1.74533017398905
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,LLEUDr,NADH,NADPH,0.441135278995619,0.427801425708001,3.11683236341497
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,OIVD2,NADH,NADPH,0.435621367091541,0.427801425708001,1.82793719553373
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,MMSDHir,NADH,NADPH,0.435620292371399,0.427801425708001,1.8276859761414
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,HIBD,NADH,NADPH,0.435620292310886,0.427801425708001,1.82768596199618
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,VALDHr,NADH,NADPH,0.441135278256106,0.427801425708001,3.11683219055141
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,ALAD_L,NADH,NADPH,0.441135278774299,0.427801425708001,3.11683231168078
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,KARA1,NADPH,NADH,0.435680490361069,0.427801425708001,1.84175745558312
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,MDH,NADH,NADPH,0.441135278900675,0.427801425708001,3.11683234122157
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,GAPD,NADH,NADPH,0.441135278921571,0.427801425708001,3.11683234610622
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,MMSAD1,NADH,NADPH,0.435620291772078,0.427801425708001,1.82768583604806
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,GLUDxi,NADH,NADPH,0.441135278413008,0.427801425708001,3.11683222722787
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-xylose,HACOADr,NADH,NADPH,0.435620292989501,0.427801425708001,1.82768612062471
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,LLEUDr,NADH,NADPH,0.441135279060226,0.427801425423055,3.1168324472002
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,OIVD2,NADH,NADPH,0.435621365360847,0.427801425423055,1.82793685880295
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,MMSDHir,NADH,NADPH,0.435620292989854,0.427801425423055,1.82768618853164
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,HIBD,NADH,NADPH,0.435620292468297,0.427801425423055,1.82768606661596
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,VALDHr,NADH,NADPH,0.441135277785775,0.427801425423055,3.11683214929323
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,ALAD_L,NADH,NADPH,0.441135278771665,0.427801425423055,3.1168323797482
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,HACOADr,NADH,NADPH,0.435620292848851,0.427801425423055,1.82768615557182
